A0,A1,A2,A3,A4,A5,A6
36933,江苏梅兰化工有限公司,交通行政许可申请许可决定书,TZ321200202107210023,"江苏梅兰化工有限公司:你(单位)于2021-07-21 09:29:53向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 09:45:50至2021-07-22 17:00:00时间内作业。",泰州市交通运输局,2021/7/21
36930,常熟国邦港务有限公司,交通行政许可申请许可决定书,SZ320500202107200064,"常熟国邦港务有限公司:你(单位)于2021-07-20 20:46:10向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-21 21:00:00至2021-07-22 06:00:00时间内作业。",常熟市交通运输局,2021/7/21
36931,常熟国邦港务有限公司,交通行政许可申请许可决定书,SZ320500202107200065,"常熟国邦港务有限公司:你(单位)于2021-07-20 20:49:22向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-21 21:00:00至2021-07-22 06:00:00时间内作业。",常熟市交通运输局,2021/7/21
36935,张家港保税港区港务有限公司,交通行政许可申请许可决定书,SZ320500202107210081,"张家港保税港区港务有限公司:你(单位)于2021-07-21 13:41:19向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 20:00:00至2021-07-22 23:00:00时间内作业。",苏州市交通运输局,2021/7/21
36873,江苏梅兰化工有限公司,交通行政许可申请许可决定书,TZ321200202107210013,"江苏梅兰化工有限公司:你(单位)于2021-07-21 09:22:46向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 10:30:50至2021-07-22 17:00:00时间内作业。",泰州市交通运输局,2021/7/21
36934,张家港保税港区港务有限公司,交通行政许可申请许可决定书,SZ320500202107210080,"张家港保税港区港务有限公司:你(单位)于2021-07-21 13:40:29向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 20:00:00至2021-07-22 23:00:00时间内作业。",苏州市交通运输局,2021/7/21
33118,宿迁楚东建设工程有限公司,建筑业企业资质的核准,D23238723620210721,防水防腐保温工程专业承包贰级、建筑幕墙工程专业承包贰级、特种工程(特种防雷技术)专业承包不分等级,江苏省住房和城乡建设厅,2021/7/21
36953,江苏长江石油化工有限公司,交通行政许可申请许可决定书,SZ320500202107210051,"江苏长江石油化工有限公司:你(单位)于2021-07-21 11:02:54向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 12:00:00至2021-07-24 12:00:00时间内作业。",太仓市交通运输局,2021/7/21
38085,南通宏川化工有限公司太仓分公司,危险化学品经营许可,苏苏危化经字03179,"易制爆危化品:硝酸;一般危化品:丙烯、二甲醚、正戊烷、环戊烷、环己烷、正己烷、2-甲基戊烷、2,2-二甲基丁烷、二甲氧基甲烷、甲酸甲酯、甲酸乙酯、石油醚、石脑油、正庚烷、正辛烷、异辛烷、甲基环己烷、环庚烷、1,2-二氯乙烷、1,2-二氯丙烷、苯、粗苯、乙苯、甲醇、乙醇[无水]、1-丙醇、2-丙醇、2-甲基-2-丙醇、4-甲基-2-戊酮、4-羟基-4-甲基-2-戊酮、甲基叔丁基醚、1,2-二甲氧基乙烷、1,3-二氧戊环、乙酸甲酯、丙烯酸甲酯[稳定的]、乙酸乙酯、乙酸正丙酯、乙酸正丁酯、乙酸仲丁酯、丙烯酸乙酯[稳定的]、甲基丙烯酸甲酯[稳定的]、碳酸二甲酯、煤焦油、1,2-二甲苯、二甲苯异构体混合物、1,3,5-三甲基苯、苯乙烯[稳定的]、2-甲基-1-丙醇、正丁醇、1-戊醇、丙二醇乙醚、2-甲氧基乙酸乙酯、乙二醇乙醚、二异丁基酮、环己酮、丙烯酸正丁酯[稳定的]、N,N-二甲基甲酰胺、松节油、硝化沥青、1,2,4,5-四甲苯、1-氯-2,3-环氧丙烷、苯酚、2-巯基乙醇、二氯甲烷、1,1,1-三氯乙烷、1,1,2-三氯乙烷、四氯乙烯、2-丁氧基乙醇、2-甲基苯胺、乙酸[含量＞80%]、丙烯酸[稳定的]、马来酸酐、邻苯二甲酸酐[含马来酸酐大于0.05%]、氢氧化钠、2-氨基乙醇、2,2’-二羟基二乙胺、甲醛溶液、N,N’-二亚硝基五亚甲基四胺[减敏的]、乙酸乙二醇乙醚;易制毒化学品:丙酮、2-丁酮、硫酸、盐酸、甲苯、乙醚***（所有品种不得储存，经营品种涉及其它行政许可的，应按规定履行相关手续。）",苏州市应急管理局,2021/7/21
36951,张家港保税港区港务有限公司,交通行政许可申请许可决定书,SZ320500202107210033,"张家港保税港区港务有限公司:你(单位)于2021-07-21 10:39:32向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-23 18:00:00至2021-07-26 03:00:00时间内作业。",苏州市交通运输局,2021/7/21
36952,张家港保税港区港务有限公司,交通行政许可申请许可决定书,SZ320500202107210050,"张家港保税港区港务有限公司:你(单位)于2021-07-21 11:02:07向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-23 18:00:00至2021-07-26 03:00:00时间内作业。",苏州市交通运输局,2021/7/21
38126,江阴华西化工码头有限公司,交通行政许可申请许可决定书,WX320200202107210034,"江阴华西化工码头有限公司:你(单位)于2021-07-21 16:19:28向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 20:00:00至2021-07-23 06:00:00时间内作业。",江阴市口岸办,2021/7/21
38127,南通东方石油化工港储有限公司,交通行政许可申请许可决定书,NT320600202107210025,"南通东方石油化工港储有限公司:你(单位)于2021-07-21 10:34:32向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 15:45:00至2021-07-22 17:50:00时间内作业。",如皋市港口局,2021/7/21
33252,泰州市华贵建筑装饰有限公司,建筑业企业资质的核准,D23224496920210721,建筑业企业资质证书简单变更,江苏省住房和城乡建设厅,2021/7/21
38125,太仓阳鸿石化有限公司,交通行政许可申请许可决定书,SZ320500202107210094,"太仓阳鸿石化有限公司:你(单位)于2021-07-21 15:11:54向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 18:00:00至2021-07-23 18:00:00时间内作业。",太仓市交通运输局,2021/7/21
36944,苏州元子药店有限公司,准予许可决定书,苏行审药经营许字〔2021〕E203号,药品零售企业许可变更,苏州市行政审批局,2021/7/21
36945,苏州新斯锐人力资源有限公司,准予行政许可决定书,2021第214号,新申请劳务派遣,吴中区行政审批局,2021/7/21
36943,苏州华苏药店有限公司第九分店,准予许可决定书,苏行审药经营许字〔2021〕E203号,药品零售企业许可变更,苏州市行政审批局,2021/7/21
38124,南京港股份有限公司仪征分公司,交通行政许可申请许可决定书,YZ321000202107210017,"南京港股份有限公司仪征分公司:你(单位)于2021-07-21 13:18:09向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 18:00:00至2021-07-24 14:00:00时间内作业。",仪征市交通运输局,2021/7/21
36949,泰州市通江油品装卸有限公司,交通行政许可申请许可决定书,TZ321200202107210029,"泰州市通江油品装卸有限公司:你(单位)于2021-07-21 10:19:37向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 11:00:00至2021-07-22 15:00:00时间内作业。",泰州市交通运输局,2021/7/21
36950,张家港保税港区港务有限公司,交通行政许可申请许可决定书,SZ320500202107210084,"张家港保税港区港务有限公司:你(单位)于2021-07-21 13:43:42向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 20:00:00至2021-07-22 23:00:00时间内作业。",苏州市交通运输局,2021/7/21
33251,扬州利之星建设工程有限公司,建筑业企业资质的核准,D23223730720210721,建筑业企业资质证书简单变更,江苏省住房和城乡建设厅,2021/7/21
36948,南京扬子物流有限责任公司,交通行政许可申请许可决定书,NJ320100202107210047,"南京扬子物流有限责任公司:你(单位)于2021-07-21 14:31:56向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 15:00:00至2021-07-25 23:59:00时间内作业。",南京市交通运输局,2021/7/21
36929,张家港保税港区港务有限公司,交通行政许可申请许可决定书,SZ320500202107210111,"张家港保税港区港务有限公司:你(单位)于2021-07-21 16:18:53向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-23 20:30:00至2021-07-23 21:32:00时间内作业。",苏州市交通运输局,2021/7/21
34787,江苏梅兰化工有限公司,交通行政许可申请许可决定书,TZ321200202107210004,"江苏梅兰化工有限公司:你(单位)于2021-07-21 08:15:13向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 08:30:00至2021-07-22 12:00:00时间内作业。",泰州市交通运输局,2021/7/21
34786,江阴华西化工码头有限公司,交通行政许可申请许可决定书,WX320200202107210019,"江阴华西化工码头有限公司:你(单位)于2021-07-21 11:02:42向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 19:00:00至2021-07-23 03:00:00时间内作业。",江阴市口岸办,2021/7/21
38103,江苏天一路桥有限公司,中华人民共和国港口经营许可证,〔苏常〕港经证〔0130号〕,港口经营许可,常州市交通运输局,2021/7/21
34788,常熟市永盛化工有限公司,交通行政许可申请许可决定书,SZ320500202107200048,"常熟市永盛化工有限公司:你(单位)于2021-07-20 15:29:55向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-21 17:00:00至2021-07-21 22:00:00时间内作业。",常熟市交通运输局,2021/7/21
36879,江苏扬子嘉盛码头有限公司,交通行政许可申请许可决定书,WX320200202107200036,"江苏扬子嘉盛码头有限公司:你(单位)于2021-07-20 23:06:55向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 10:00:00至2021-07-23 07:00:00时间内作业。",江阴市口岸办,2021/7/21
38108,常州协联金属制品有限公司,行政许可决定书,32040420210721000,公司变更登记,常州市钟楼区行政审批局(区政务服务管理办公室),2021/7/21
36880,连云港新东方国际货柜码头有限公司,交通行政许可申请许可决定书,LYG320700202107210020,"连云港新东方国际货柜码头有限公司:你(单位)于2021-07-21 16:53:59向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-25 00:00:00至2021-07-26 00:00:00时间内作业。",连云港市港口局,2021/7/21
38107,常州万图明泡沫包装材料有限公司,行政许可决定书,武行审特压〔2021〕0054号,特种设备使用登记,武进区行政审批局,2021/7/21
36883,张家港保税港区港务有限公司,交通行政许可申请许可决定书,SZ320500202107210071,"张家港保税港区港务有限公司:你(单位)于2021-07-21 13:34:06向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 20:00:00至2021-07-22 23:00:00时间内作业。",苏州市交通运输局,2021/7/21
36884,江苏梅兰化工有限公司,交通行政许可申请许可决定书,TZ321200202107210017,"江苏梅兰化工有限公司:你(单位)于2021-07-21 09:27:22向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 09:45:50至2021-07-22 17:00:00时间内作业。",泰州市交通运输局,2021/7/21
36882,南京港股份有限公司仪征分公司,交通行政许可申请许可决定书,YZ321000202107210028,"南京港股份有限公司仪征分公司:你(单位)于2021-07-21 13:34:34向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-23 18:00:00至2021-07-24 14:00:00时间内作业。",仪征市交通运输局,2021/7/21
36881,扬州恒基达鑫国际化工仓储有限公司,交通行政许可申请许可决定书,YZ321000202107210008,"扬州恒基达鑫国际化工仓储有限公司:你(单位)于2021-07-21 10:09:18向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 17:00:00至2021-07-25 23:40:30时间内作业。",仪征市交通运输局,2021/7/21
38106,江苏佰拓建设有限公司,行政许可决定书,常经审建〔2021〕465号,建筑工程夜间施工许可,江苏常州经济开发区行政审批局,2021/7/21
38105,常州市腾田液压机械有限公司,320405GB21102142,320405GB21102142,第二类、第三类易制毒化学品购买备案,常州市公安局经开分局,2021/7/21
36885,张家港保税港区港务有限公司,交通行政许可申请许可决定书,SZ320500202107210077,"张家港保税港区港务有限公司:你(单位)于2021-07-21 13:37:24向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 20:00:00至2021-07-22 23:00:00时间内作业。",苏州市交通运输局,2021/7/21
36886,南京港股份有限公司仪征分公司,交通行政许可申请许可决定书,YZ321000202107210025,"南京港股份有限公司仪征分公司:你(单位)于2021-07-21 13:28:37向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-23 04:00:00至2021-07-23 09:40:00时间内作业。",仪征市交通运输局,2021/7/21
38112,江苏万旺建设工程有限公司,建筑业企业资质的核准,D23238726020210721,建筑装修装饰工程专业承包贰级,江苏省住房和城乡建设厅,2021/7/21
33144,江苏海超建设有限公司,建筑业企业资质证书,D332189017,重组分立,南京市城乡建设委员会,2021/7/21
33138,南京睿和祥拍卖有限公司,关于同意南京睿和祥拍卖有限公司经营拍卖业务的批复,宁商审批〔2021〕392号,国家法律法规和政策允许的有形资产和无形资产的拍卖（依法须经批准的项目，经相关部门批准后方可开展经营活动）,南京市商务局,2021/7/21
38111,苏州科信建设发展有限公司,建筑业企业资质的核准,D23221892320210721,建筑业企业资质证书简单变更,江苏省住房和城乡建设厅,2021/7/21
33155,南京颢体体育信息咨询有限公司,高危险性体育项目经营许可证,32010420210003,高危险性体育运动（游泳）,南京市秦淮区行政审批局,2021/7/21
38115,江苏循普建设工程有限公司,建筑业企业资质的核准,D23233228620210721,建筑业企业资质证书简单变更,江苏省住房和城乡建设厅,2021/7/21
38113,如东华成吊装有限公司,建筑业企业资质的核准,D23238727820210721,特种工程(特殊设备起重吊装)专业承包不分等级,江苏省住房和城乡建设厅,2021/7/21
38114,江苏共坤建设工程有限公司,建筑业企业资质的核准,D23224038120210721,建筑业企业资质证书简单变更,江苏省住房和城乡建设厅,2021/7/21
36900,江阴华西化工码头有限公司,交通行政许可申请许可决定书,WX320200202107210033,"江阴华西化工码头有限公司:你(单位)于2021-07-21 16:18:54向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 20:00:00至2021-07-23 06:00:00时间内作业。",江阴市口岸办,2021/7/21
36901,连云港新东方国际货柜码头有限公司,交通行政许可申请许可决定书,LYG320700202107210011,"连云港新东方国际货柜码头有限公司:你(单位)于2021-07-21 16:05:30向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-24 00:00:00至2021-07-25 00:00:00时间内作业。",连云港市港口局,2021/7/21
38110,沛县鸿发铁路工程有限公司,建筑业企业资质的核准,D23201599120210721,建筑业企业资质证书简单变更,江苏省住房和城乡建设厅,2021/7/21
36899,江苏梅兰化工有限公司,交通行政许可申请许可决定书,TZ321200202107210014,"江苏梅兰化工有限公司:你(单位)于2021-07-21 09:23:15向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 10:30:50至2021-07-22 17:00:00时间内作业。",泰州市交通运输局,2021/7/21
36904,张家港保税港区港务有限公司,交通行政许可申请许可决定书,SZ320500202107210020,"张家港保税港区港务有限公司:你(单位)于2021-07-21 10:21:02向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-23 20:00:00至2021-07-23 23:00:00时间内作业。",苏州市交通运输局,2021/7/21
36905,张家港保税港区港务有限公司,交通行政许可申请许可决定书,SZ320500202107210021,"张家港保税港区港务有限公司:你(单位)于2021-07-21 10:21:47向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-23 20:00:00至2021-07-23 23:00:00时间内作业。",苏州市交通运输局,2021/7/21
36902,南通东方石油化工港储有限公司,交通行政许可申请许可决定书,NT320600202107210022,"南通东方石油化工港储有限公司:你(单位)于2021-07-21 10:21:50向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 19:20:00至2021-07-22 22:05:00时间内作业。",如皋市港口局,2021/7/21
36903,中国船舶燃料连云港有限公司,交通行政许可申请许可决定书,LYG320700202107210002,"中国船舶燃料连云港有限公司:你(单位)于2021-07-21 10:18:57向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 12:00:00至2021-07-23 12:08:00时间内作业。",连云港市港口局,2021/7/21
37138,南京港龙潭集装箱有限公司,交通行政许可申请许可决定书,NJ320100202107210022,"南京港龙潭集装箱有限公司:你(单位)于2021-07-21 09:25:02向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 19:00:00至2021-07-23 09:30:00时间内作业。",南京市交通运输局,2021/7/21
34718,江苏康林贝医疗器械有限公司,医疗器械注册证,苏械注准20202200068,产品由保护屏、保护壳、腕带、PCB组件、时控卡、硅胶按键、电极片组成；其中PCB组件由主板、液晶屏、充电锂电池组成，随附充电器和USB充电线；电极片材质为铜（表面镀铬），保护壳材质为ABS和PC。,江苏省药品监督管理局,2021/7/21
38070,江苏希格玛医疗科技有限公司,医疗器械注册证,苏械注准20212091088,日光紫外线模拟器由主机和照射腔体组成。,江苏省药品监督管理局,2021/7/21
38069,紫罗兰家纺科技股份有限公司,医疗器械注册证,苏械注准20212141091,医用防护口罩由口罩体、口罩带和鼻夹组成。口罩体有五层：内层（贴面层）为纺粘无纺布，第二层、第三层为熔喷无纺布，第四层为热风棉（聚酯纤维），第五层（外层）为纺粘无纺布。鼻夹由可弯折的可塑性材料制成，口罩带由涤纶线和少量氨纶线制成。产品以无菌和非无菌两种状态提供，无菌产品经环氧乙烷灭菌。一次性使用。,江苏省药品监督管理局,2021/7/21
37985,江苏华岳中林新能源科技有限公司,园林绿化准予行政许可决定书,宁园占审字〔2021〕30号,同意因白下高新园区江苏华岳中林太阳能光电项目建设需要，占用绿地6_,南京市绿化园林局,2021/7/21
37940,扬州市环境保护有限公司,建筑业企业资质的核准,D23200165920210721,建筑业企业资质证书简单变更,江苏省住房和城乡建设厅,2021/7/21
34717,阜宁县正兴医用敷料有限公司,医疗器械注册证,苏械注准20162140373,医用脱脂纱布片以脱脂纱布为原料，根据长、宽、层数及纱线数不同，分为若干规格，该产品以无菌和非无菌两种状态提供，无菌产品经环氧乙烷灭菌或辐照灭菌。一次性使用。,江苏省药品监督管理局,2021/7/21
34716,苏州新区姑苏高分子医用器材有限公司,医疗器械注册证,苏械注准20162140905,一次性使用导尿包由一次性使用导尿管（单腔、双腔、三腔）、一次性使用引流袋、镊子、医用纱布块、医用棉球（硅油润滑棉球、酒精棉球、碘伏棉球）、一次性使用橡胶检查手套、孔巾、注水器、尿样管、尿样夹、别针、塑料盘和包布配置组成，其中单腔导尿管分2.0mm(F6)至7.3mm(F22)九种规格，双腔导尿管分2.7mm(F8)至8.0mm(F24)九种规格，三腔导尿管分4.0mm(F12)至8.0mm(F24)七种规格。该产品以无菌状态提供，经环氧乙烷灭菌，一次性使用。,江苏省药品监督管理局,2021/7/21
38071,江苏天眼医药科技股份有限公司,医疗器械生产许可证,苏食药监械生产许20210191号,III类:16-06眼科矫治和防护器具,江苏省药品监督管理局,2021/7/21
34719,江苏百纳医疗科技有限公司,医疗器械生产许可证,苏食药监械生产许20170128号,III类:04-17脊柱外科辅助器械，13-01骨接合植入物，13-03脊柱植入物，13-09整形及普通外科植入物II类:02-03手术器械-剪，02-04手术器械-钳，02-06手术器械-夹，02-12手术器械-穿刺导引器，02-13手术器械-吻（缝）合器械及材料，02-14手术器械-冲吸器，04-17脊柱外科辅助器械，06-16内窥镜辅助用品，09-01电疗设备/器具，09-05磁疗设备/器具,江苏省药品监督管理局,2021/7/21
38076,江苏凯基生物技术股份有限公司,医疗器械生产许可证,苏食药监械生产许20140163号,II类:6840-1用于蛋白质检测的试剂,江苏省药品监督管理局,2021/7/21
34721,常州创捷微创医疗器械有限公司,医疗器械注册证,苏械注准20162021389,一次性使用肛肠吻合器及附件由吻合器和附件组成。吻合器由抵钉座、吻切组件、固定手柄、保险块、活动手柄、调节螺母、垫刀圈、吻合钉和环形刀组成，吻切组件与器身连接成一体不可更换；附件由：扩张器、缝扎器、导入管和勾线器组成。吻合钉分为内、中、外三圈。根据吻切组件的外径不同可分为32、34两种型号。该产品以无菌状态提供，经环氧乙烷灭菌，一次性使用。,江苏省药品监督管理局,2021/7/21
34720,健尔康医疗科技股份有限公司,医疗器械注册证,苏械注准20172140526,一次性使用酒精片由酒精和无纺布组成，用铝箔纸热合封装而成。产品以非无菌状态提供，一次性使用。,江苏省药品监督管理局,2021/7/21
38073,南京岚煜生物科技有限公司,医疗器械生产许可证,苏食药监械生产许20190104号,II类:22-01血液学分析设备，22-04免疫分析设备，6840-1用于蛋白质检测的试剂，6840-3用于激素检测的试剂，6840-4用于酶类检测的试剂，6840-9用于自身抗体检测的试剂，6840-11用于其他生理、生化或免疫功能指标检测的试剂，6840-6用于维生素检测的试剂,江苏省药品监督管理局,2021/7/21
38072,江苏百宁盈创医疗科技有限公司,医疗器械注册证,苏械注准20212011090,超声高频外科集成系统超声刀头由刀头和手柄两部分组成。,江苏省药品监督管理局,2021/7/21
38075,南微医学科技股份有限公司,医疗器械生产许可证,苏食药监械生产许20010302号,III类:01-03高频/射频手术设备及附件，02-07手术器械-针，02-15手术器械-其他器械，13-09整形及普通外科植入物，14-01注射、穿刺器械II类:02-04手术器械-钳，02-06手术器械-夹，02-07手术器械-针，02-11手术器械-牵开器，02-12手术器械-穿刺导引器，02-13手术器械-吻（缝）合器械及材料，02-15手术器械-其他器械，06-08超声影像诊断附属设备，06-13光学成像诊断设备，14-05非血管内导（插）管，18-01妇产科手术器械,江苏省药品监督管理局,2021/7/21
38074,泰州市榕兴医疗用品股份有限公司,医疗器械注册证,苏械注准20162141120,医用透明敷贴主要由背衬(聚氨酯薄膜)、离型纸、粘合剂(医用低致敏丙烯酸酯)材料制成。按规格分为A型、B型；按尺寸分为14种。该产品以无菌状态提供，经环氧乙烷灭菌。一次性使用。,江苏省药品监督管理局,2021/7/21
37939,常州优医医药科技有限公司,行政许可决定书,32040420210721000,公司变更登记,常州市钟楼区行政审批局(区政务服务管理办公室),2021/7/21
34619,江苏壳牌能源有限公司如东县洋口加油站,危险化学品经营许可,11320600MB0107588Y3000125045000202107210006,变更法人,南通市行政审批局,2021/7/21
34429,宿迁雅火商贸有限公司,食品经营许可,13220409食许准字〔2021〕第07210021号,食品销售经营者,沭阳县市场监督管理局,2021/7/21
33263,启东梦之声休闲娱乐有限公司,准予行政许可决定书,11320681014247549F400012302000001202107210764,公共场所卫生许可（新证）,启东市卫生健康委员会,2021/7/21
33264,南京勇正体育文化发展股份有限公司,高危险性体育项目经营许可证,32010420210004,高危险性体育运动（游泳）,南京市秦淮区行政审批局,2021/7/21
