A0,A2,A4,A5
37936,320405GB21102041,易制毒 化学品 备案,公安
37933,行政,建设 项目 环境影响 报告 排污口 设置 建设 项目,环境
37938,行政,变更 登记,行政 审批
37937,行政,注销 登记,行政 审批
33255,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
36709,交通 行政,利士 化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,口岸
37931,行政,经营者 备案 登记,行政 审批
33254,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
34722,医疗器械 注册证,医用 脉冲 冲洗器 聚氯乙烯 枪体 电源 管套 保护套 瓶塞 流量 调节器 出液 聚氯乙烯 进液 聚氯乙烯 环氧乙烷 状态 供货,药品 监督 管理
34753,交通 行政,中国石化集团 金陵 石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34752,交通 行政,港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34755,交通 行政,股份 分公司 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34754,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
38132,园林绿化 准予 行政,高杆 女贞 白玉兰 榉树 楝树,园林
38077,医疗器械 注册证,导管 导管 聚氯乙烯 材料 形状 A型 B型 管身 外径 规格 产品 无菌 状态 环氧乙烷,药品 监督 管理
34747,交通 行政,梅兰 化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
38079,医疗器械 注册证,胃管 医用 聚氯乙烯 塑料 医用 硅胶 材料 医用 聚氨脂 材料 导管 尺寸 规格 型式 胃管 耳式 胃管 导丝 胃管 不锈钢 珠胃 产品 无菌 状态 环氧乙烷,药品 监督 管理
38078,医疗器械 注册证,内窥镜 套扎器 手柄 水管 硅橡胶 部件 分子量 聚乙烯 纤维 产品 无菌 状态 环氧乙烷,药品 监督 管理
38130,交通 行政,保税 港区 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
38131,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
38128,交通 行政,阿尔法 石油化工 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,口岸
38129,交通 行政,保税 港区 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36741,建筑 工程施工,建筑 工程施工,行政 审批
34757,交通 行政,液化气 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
34756,交通 行政,海泰 油品 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36710,交通 行政,石油 销售 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
33253,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
34746,交通 行政,石油 燃料 沥青 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,口岸
34724,医疗器械 注册证,试剂 生物素 标记 抗原 单克隆 抗体 小鼠 缓冲液 防腐 试剂 吖啶 标记 抗原 单克隆 抗体 小鼠 缓冲液 防腐 颗粒 链霉亲 标记 颗粒 防腐 校准 人源性 新生 血清 校准 人源性 新生 血清 校准 人源性 新生 血清,药品 监督 管理
34744,交通 行政,梅兰 化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34737,准予,影视 广播 报纸 期刊 印刷品 网络,卫生 健康 委员会
34742,船舶 检验证书,船舶 法定 检验,交通 运输
34743,船舶 检验证书,船舶 法定 检验,交通 运输
37127,交通 行政,燃料油 销售 分公司 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,口岸
34745,交通 行政,石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
34723,医疗器械 注册证,支架 外形 结构 万向 万向 万向 万向 万向 万向 型号 金属件 不锈钢 材料 铝合金 材料 材料 产品 无菌 状态,药品 监督 管理
33014,建筑业 资质 证书,变更,城乡 建设
33006,建筑业 资质 证书,变更,城乡 建设
35254,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
35260,交通 行政,新东方 集装箱 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
33018,建筑业 资质 证书,变更,城乡 建设
35256,交通 行政,国望 高科 纤维 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35451,车辆,道路 运输 车辆,交通 运输
32995,园林绿化 准予 行政,干径 黄连木 干径 高杆 女贞 干径 干径 榉树 干径 雪松 干径 构树 干径 泡桐 干径 水杉,园林
35255,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35257,交通 行政,中国石化集团 金陵 石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
32999,城市绿化,城市绿化 本局 地点 莲池 面积 标准 绿化,城市 管理
35259,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35258,交通 行政,梅兰 化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
33486,建筑 工程施工 许可证,电喇叭 生产线 项目,行政 审批
33487,建筑 工程施工 许可证,消防器材 消防 消防 水枪 消防 水炮 钢质 防火门 酸洗 磷化 生产工艺 钢质 木质 防火门,行政 审批
35297,交通 行政,石油 天然气 股份 销售 分公司 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35295,交通 行政,永盛 化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35296,交通 行政,中国石化集团 金陵 石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35276,交通 行政,股份 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35275,交通 行政,梅兰 化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35277,交通 行政,戴梦特 化工 科技股份 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35279,交通 行政,龙翔 液体化工 储运 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35278,交通 行政,梅兰 化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
33485,建筑 工程施工 许可证,水润隆 小区 管网 设施 工程,行政 审批
35288,车辆,道路 运输 车辆,交通 运输
35289,车辆,道路 运输 车辆,交通 运输
33385,建筑 工程施工,建筑 工程施工,行政 审批
33273,准予 行政,卫生 许可证,卫生 健康 委员会
33256,行政 准予 行政,药品 经营,行政 审批
35293,交通 行政,扬子 石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35294,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35292,车辆,道路 运输 车辆,交通 运输
35290,车辆,道路 运输 车辆,交通 运输
35291,车辆,道路 运输 车辆,交通 运输
35274,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
35446,车辆,道路 运输 车辆,交通 运输
35447,车辆,道路 运输 车辆,交通 运输
33142,建筑业 资质 证书,变更,城乡 建设
35312,船舶 检验证书,船舶 法定 检验,地方 海事
33143,建筑业 资质 证书,变更,城乡 建设
35262,交通 行政,燃料油 销售 分公司 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,口岸
35261,交通 行政,石油 天然气 股份 销售 分公司 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
33122,准予 行政,电影 电影 变更 法人,行政 审批
33135,建筑业 资质 证书,变更,城乡 建设
33134,城市绿化,城市绿化 本局 地点 面积 标准 绿化,城市 管理
33145,建筑业 资质 证书,变更,城乡 建设
35270,车辆,更新,交通 运输
35269,车辆,更新,交通 运输
35271,车辆,道路 运输 车辆,交通 运输
35273,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
35272,车辆,道路 运输 车辆,交通 运输
33154,建筑业 资质 证书,变更,城乡 建设
33149,建筑业 资质 证书,变更,城乡 建设
35301,车辆,道路 运输 车辆,交通 运输
33495,食品 经营,食品 销售 经营者,市场 监督 管理
33158,城市绿化,城市绿化 本局 地点 纪念馆 面积 绿化,城市 管理
35253,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
34766,交通 行政,易联 能源 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
34765,交通 行政,梅兰 化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34990,建设 工程规划 许可证,建设 工程规划 许可证,自然资源 规划
34767,交通 行政,石油 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
34764,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34761,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
34760,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
34763,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34762,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
34768,交通 行政,易联 能源 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
34773,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
34772,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34775,交通 行政,保税区 国际 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34774,交通 行政,港龙 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34981,车辆,道路 运输 车辆,交通 运输
34770,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
34769,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
34982,车辆,道路 运输 车辆,交通 运输
34771,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35005,交通 行政,阳鸿 储运 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
35006,交通 行政,实业 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35003,交通 行政,阳鸿 储运 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
35004,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34627,食品 经营,食品 销售 经营者,市场 监督 管理
35007,交通 行政,港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35008,交通 行政,禾兴 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
34626,建筑业 资质 证书,变更,城乡 建设
34625,建筑业 资质 证书,变更,城乡 建设
35002,交通 行政,物流 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34751,交通 行政,东沃 化能 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34750,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
34759,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34758,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
34749,车辆,道路 运输 车辆,交通 运输
35000,交通 行政,中国石化集团 金陵 石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35001,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34748,车辆,道路 运输 车辆,交通 运输
34999,交通 行政,永盛 化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34776,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34797,车辆,道路 运输 车辆,交通 运输
34796,车辆,道路 运输 车辆,交通 运输
34812,交通 行政,码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34798,交通 行政,保税 港区 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34818,交通 行政,新东方 集装箱 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
34821,交通 行政,中国石化集团 金陵 石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34822,交通 行政,港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34819,交通 行政,保税 港区 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34820,交通 行政,蓝遥 净水剂 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,口岸
34811,交通 行政,阳鸿 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34803,交通 行政,港口 国际 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
34802,交通 行政,保税 港区 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34806,车辆,道路 运输 车辆,交通 运输
34807,车辆,道路 运输 车辆,交通 运输
34801,交通 行政,燃油 储运 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34799,交通 行政,国邦 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34810,交通 行政,港口 国际 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
34800,交通 行政,中国石化集团 金陵 石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34808,车辆,道路 运输 车辆,交通 运输
34783,交通 行政,石油 天然气 股份 销售 分公司 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34782,交通 行政,新荣泰 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
34785,交通 行政,雄风 科技 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34784,交通 行政,股份 分公司 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34781,交通 行政,蓝遥 净水剂 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,口岸
34778,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
34777,交通 行政,销售 股份 石油 分公司 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34780,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
34779,交通 行政,危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34789,车辆,道路 运输 车辆,交通 运输
34793,车辆,道路 运输 车辆,交通 运输
34823,交通 行政,石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34795,车辆,道路 运输 车辆,交通 运输
34794,车辆,道路 运输 车辆,交通 运输
34824,交通 行政,国望 高科 纤维 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34791,车辆,道路 运输 车辆,交通 运输
34790,车辆,道路 运输 车辆,交通 运输
34792,车辆,道路 运输 车辆,交通 运输
34961,准予,命名 吴润 商务中心,行政 审批
33903,建筑业 资质 证书,变更,城乡 建设
33899,建筑业 资质 证书,变更,城乡 建设
33909,食品 经营,食品 销售 经营者,市场 监督 管理
35202,车辆,更新,交通 运输
33897,建筑业 资质 证书,变更,城乡 建设
33883,建筑业 资质 证书,变更,城乡 建设
33882,建筑业 资质 证书,变更,城乡 建设
33895,建筑业 资质 证书,变更,城乡 建设
33888,建筑业 资质 证书,变更,城乡 建设
35068,建设 项目 选址 意见书,怡园 经济 适用房 项目 用地 预审 选址,自然资源 规划
34206,建筑业 资质 证书,变更,城乡 建设
34109,建筑业 资质 证书,变更,城乡 建设
34211,建筑业 资质 证书,变更,城乡 建设
34209,建筑业 资质 证书,变更,城乡 建设
34108,建筑业 资质 证书,变更,城乡 建设
35063,交通 行政,永盛 化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35065,准予 行政,电影,新闻 出版
34003,城市绿化,城市绿化 本局 地点 天保 双闸路 龙王 面积 绿化,城市 管理
33989,药品 经营 许可证 准予 通知书,处方药 化学 药制剂 抗生素 制剂 生化 药品 中药饮片 精制 单味 中药饮片 中成药 冷藏 药品,行政 审批
33588,准予 桐昆恒阳 化纤 智能化 产业 项目 行政,桐昆恒阳 化纤 智能化 产业 项目,水利
35243,交通 行政,石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
33590,准予 桐昆旭阳 热电 热电 项目 行政,桐昆旭阳 热电 热电 项目,水利
33589,准予 印染 布料 生产线 项目 行政,印染 布料 生产线 项目,水利
35244,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
35251,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35252,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
35249,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
35250,交通 行政,龙发 化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
33675,机电 进口 许可证,进口 机电 产品,商务
33876,建筑业 资质 证书,变更,城乡 建设
35216,药品 备案,药品 管理 办法 复方 利血平 原料药 产地 备案 硫酸 双肼 屈嗪 原料药 供应商 药业 集团股份 基础 武新 制药 氢氯 噻嗪 原料药 供应商 制药厂 基础 制药,药品 监督 管理
33879,建筑业 资质 证书,变更,城乡 建设
33878,建筑业 资质 证书,变更,城乡 建设
35218,业户,道路 业户 经营,交通 运输
33689,建筑业 资质 证书,变更,城乡 建设
33676,建筑业 资质 证书,变更,城乡 建设
35219,车辆,道路 运输 车辆,交通 运输
33696,建筑业 资质 证书,变更,城乡 建设
34214,建筑业 资质 证书,变更,城乡 建设
35020,交通 行政,石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
35021,交通 行政,恒阳 化工 储运 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,口岸
35018,交通 行政,物流 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35019,交通 行政,石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
35025,车辆,更新,交通 运输
35029,交通 行政,华泰 物流 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35030,交通 行政,化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35026,车辆,道路 运输 车辆,交通 运输
35028,车辆,道路 运输 车辆,交通 运输
34427,建筑业 资质 证书,变更,城乡 建设
35011,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35012,交通 行政,货箱 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35009,交通 行政,石油 天然气 股份 销售 分公司 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35010,交通 行政,中国石化集团 金陵 石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35013,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
35016,交通 行政,石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35017,交通 行政,港务 集团 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35014,交通 行政,保税区 国际 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35015,交通 行政,中国石化集团 金陵 石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35049,车辆,道路 运输 车辆,交通 运输
35050,业户,道路 业户 经营,交通 运输
35047,车辆,道路 运输 车辆,交通 运输
35048,车辆,道路 运输 车辆,交通 运输
35051,业户,道路 业户 经营,交通 运输
35054,业户,道路 业户 经营,交通 运输
34216,建设 工程 消防 设计 审查 意见书,消防 设计 审查,城乡 建设
35052,车辆,道路 运输 车辆,交通 运输
35053,车辆,道路 运输 车辆,交通 运输
35046,车辆,道路 运输 车辆,交通 运输
35033,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
35034,交通 行政,码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35031,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
35032,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
35035,交通 行政,股份 分公司 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34317,准予 药品 经营 许可证 变更 行政,质量 负责人 变更 程瑜,行政 审批
35045,车辆,道路 运输 车辆,交通 运输
35036,交通 行政,阳鸿 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35037,交通 行政,中国石化集团 金陵 石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35452,车辆,道路 运输 车辆,交通 运输
37121,车辆,道路 运输 车辆,交通 运输
37122,车辆,道路 运输 车辆,交通 运输
37123,车辆,道路 运输 车辆,交通 运输
36969,交通 行政,物流 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36970,交通 行政,化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36971,交通 行政,梅兰 化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37125,交通 行政,石油 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
37130,车辆,道路 运输 车辆,交通 运输
37131,车辆,道路 运输 车辆,交通 运输
37132,车辆,道路 运输 车辆,交通 运输
37126,交通 行政,港龙 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37128,车辆,道路 运输 车辆,交通 运输
37129,车辆,道路 运输 车辆,交通 运输
36968,交通 行政,中国石化集团 金陵 石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36958,车辆,道路 运输 车辆,交通 运输
36959,车辆,道路 运输 车辆,交通 运输
36960,车辆,道路 运输 车辆,交通 运输
36955,车辆,道路 运输 车辆,交通 运输
36956,车辆,道路 运输 车辆,交通 运输
36957,车辆,道路 运输 车辆,交通 运输
36961,车辆,道路 运输 车辆,交通 运输
36965,车辆,道路 运输 车辆,交通 运输
36966,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
36967,交通 行政,保税 港区 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36962,车辆,道路 运输 车辆,交通 运输
36963,车辆,客运,交通 运输
36964,车辆,道路 运输 车辆,交通 运输
37158,车辆,道路 运输 车辆,交通 运输
37159,车辆,道路 运输 车辆,交通 运输
37160,车辆,道路 运输 车辆,交通 运输
37148,车辆,道路 运输 车辆,交通 运输
37156,业户,道路 业户 经营,交通 运输
37157,车辆,道路 运输 车辆,行政 审批
37161,佳源桂府 幼儿园 建设 工程 抗震,佳源桂府 幼儿园 建设 工程 抗震,城乡 建设
37173,交通 行政,阳鸿 储运 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
37174,交通 行政,港龙 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37175,交通 行政,保税区 国际 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37170,车辆,道路 运输 车辆,交通 运输
37171,交通 行政,新荣泰 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
37172,交通 行政,港龙 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37147,车辆,道路 运输 车辆,交通 运输
37136,车辆,道路 运输 车辆,交通 运输
37137,车辆,道路 运输 车辆,交通 运输
37139,车辆,道路 运输 车辆,交通 运输
37133,车辆,道路 运输 车辆,交通 运输
37134,车辆,道路 运输 车辆,交通 运输
37135,车辆,道路 运输 车辆,交通 运输
37140,车辆,道路 运输 车辆,交通 运输
37144,车辆,道路 运输 车辆,交通 运输
37145,车辆,道路 运输 车辆,交通 运输
37146,车辆,道路 运输 车辆,交通 运输
37141,车辆,道路 运输 车辆,交通 运输
37142,车辆,道路 运输 车辆,交通 运输
37143,车辆,道路 运输 车辆,交通 运输
36954,业户,道路 业户 经营,交通 运输
36704,交通 行政,阳鸿 储运 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
36705,交通 行政,港龙 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36706,交通 行政,中国石化集团 金陵 石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36685,交通 行政,货箱 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36686,交通 行政,盛虹 纤维 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36703,交通 行政,股份 分公司 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36858,准予 行政,集中式 供水,卫生 健康 委员会
36868,车辆,道路 运输 车辆,交通 运输
36869,车辆,道路 运输 车辆,交通 运输
36874,车辆,道路 运输 车辆,交通 运输
36859,准予 行政,X射线 影像,卫生 健康 委员会
36866,车辆,道路 运输 车辆,交通 运输
36867,车辆,道路 运输 车辆,交通 运输
36684,交通 行政,中国石化集团 化学工业 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36666,车辆,道路 运输 车辆,交通 运输
36667,车辆,道路 运输 车辆,交通 运输
36668,车辆,道路 运输 车辆,交通 运输
36660,车辆,道路 运输 车辆,交通 运输
36664,车辆,道路 运输 车辆,交通 运输
36665,车辆,道路 运输 车辆,交通 运输
36669,车辆,客运,交通 运输
36681,车辆,道路 运输 车辆,交通 运输
36682,车辆,道路 运输 车辆,交通 运输
36683,交通 行政,炼油厂 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36676,徐牛 养殖 科技 发展 奶牛 养殖 项目 环境影响 报告书 意见,徐牛 养殖 科技 发展 奶牛 养殖 项目,环境
36679,车辆,道路 运输 车辆,交通 运输
36680,车辆,道路 运输 车辆,交通 运输
36908,交通 行政,利士 化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,口岸
36909,交通 行政,石油 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
36910,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36898,车辆,道路 运输 车辆,交通 运输
36906,交通 行政,宏川 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36907,交通 行政,燃油 储运 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36911,交通 行政,中国石化集团 金陵 石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36939,准予,药品 零售 变更,行政 审批
36942,准予,命名 百艺,行政 审批
